reach,subreach,flow,lag_reach,pct_subreach
por_to_lfalls,upstr_lfalls_accum_to_lfalls,0,48,1
por_to_lfalls,upstr_lfalls_accum_to_lfalls,500,30,1
por_to_lfalls,upstr_lfalls_accum_to_lfalls,2500,24,1
por_to_lfalls,upstr_lfalls_accum_to_lfalls,5000,18,1
por_to_lfalls,upstr_lfalls_accum_to_lfalls,12500,12,1
por_to_lfalls,upstr_lfalls_accum_to_lfalls,100000,9,1
monoc_to_lfalls,monoc_to_lfalls,0,36,1
monoc_to_lfalls,monoc_to_lfalls,100,30,1
monoc_to_lfalls,monoc_to_lfalls,1000,24,1
monoc_to_lfalls,monoc_to_lfalls,2500,18,1
monoc_to_lfalls,monoc_to_lfalls,100000,9,1
goose_to_lfalls,goose_to_lfalls,0,24,1
goose_to_lfalls,goose_to_lfalls,500,18,1
goose_to_lfalls,goose_to_lfalls,2000,12,1
goose_to_lfalls,goose_to_lfalls,100000,6,1
seneca_to_lfalls,seneca_to_lfalls,0,18,1
seneca_to_lfalls,seneca_to_lfalls,50,12,1
seneca_to_lfalls,seneca_to_lfalls,500,6,1
seneca_to_lfalls,seneca_to_lfalls,100000,3,1