Today, WSSC - Patuxent reservoirs current usable storage (BG), WSSC - Little Reservoir current usable storage (BG), FW - Occoquan Reservoir current usable storage (BG)
2020-01-01, 5.433011613, 3.895498514, 8.05
2020-01-02, 5.434609733, 3.89385891, 8.05
2020-01-03, 5.454951487, 3.897331715, 8.05
2020-01-04, 5.795392475, 3.900420189, 8.05
2020-01-05, 5.499098978, 3.895305634, 8.05
2020-01-06, 5.502825222, 3.891930342, 8.05
2020-01-07, 5.518502316, 3.893183947, 8.05
2020-01-08, 5.524560175, 3.889231205, 8.05
2020-01-09, 5.521286092, 3.88768959, 8.05
2020-01-10, 5.525287828, 3.886533499, 8.05
2020-01-11, 5.541392169, 3.895787954, 8.05
2020-01-12, 5.586288652, 3.897331715, 8.05
2020-01-13, 5.597355566, 3.894919872, 8.05
2020-01-14, 5.611419044, 3.894437551, 8.05
2020-01-15, 5.619391046, 3.893569469, 8.05
2020-01-16, 5.600525937, 3.889038563, 8.05
2020-01-17, 5.613156757, 3.884125471, 8.05
2020-01-18, 5.803420386, 3.893569469, 8.05
2020-01-19, 5.641703329, 3.89385891, 8.05
2020-01-20, 5.65856596, 3.888267756, 8.05
2020-01-21, 5.65304049, 3.886822462, 8.05
2020-01-22, 5.64684113, 3.885570049, 8.05
2020-01-23, 5.63742908, 3.88489604, 8.05
2020-01-24, 5.686214528, 3.928379774, 8.05
2020-01-25, 6.131329856, 3.960744381, 8.05
2020-01-26, 6.189712605, 3.929931164, 8.05
2020-01-27, 6.223966203, 3.913659573, 8.05
2020-01-28, 6.241585574, 3.903800011, 8.05
2020-01-29, 6.249903879, 3.898296833, 8.05
2020-01-30, 6.260051928, 3.89434123, 8.05
2020-01-31, 6.261843405, 3.892026663, 8.05
2020-02-01, 6.265953622, 3.89164114, 8.05
2020-02-02, 6.264703832, 3.890676975, 8.05
2020-02-03, 6.268086634, 3.888267756, 8.05
2020-02-04, 6.161704741, 3.888171196, 8.05
2020-02-05, 6.105939589, 3.888942242, 8.05
2020-02-06, 5.12297406, 3.91191864, 8.05
2020-02-07, 6.33093997, 3.918885231, 8.05
2020-02-08, 6.373964629, 3.90814805, 8.05
2020-02-09, 6.395141683, 3.900709867, 8.05
2020-02-10, 6.43985518, 3.906601667, 8.05
2020-02-11, 6.548413119, 3.916562319, 8.05
2020-02-12, 6.58452352, 3.914046526, 8.05
2020-02-13, 6.636742077, 3.910564661, 8.05
2020-02-14, 6.656518779, 3.902351379, 8.05
2020-02-15, 6.660980306, 3.898007154, 8.05
2020-02-16, 6.665696464, 3.895981073, 8.05
2020-02-17, 6.666903696, 3.893666029, 8.05
2020-02-18, 6.684187851, 3.892701626, 8.05
2020-02-19, 6.684027038, 3.891062737, 8.05
2020-02-20, 6.691446862, 3.889809608, 8.05
2020-02-21, 6.694178662, 3.888942242, 8.05
2020-02-22, 6.698445997, 3.888845921, 8.05
2020-02-23, 6.703786931, 3.888556719, 8.05
2020-02-24, 6.704178772, 3.88865304, 8.05
2020-02-25, 6.723173461, 3.892412424, 8.05
2020-02-26, 6.75745996, 3.929931164, 8.05
2020-02-27, 6.808011255, 3.919563055, 8.05
2020-02-28, 6.819169006, 3.906988144, 8.05
2020-02-29, 6.821789465, 3.899551392, 8.05
2020-03-01, 6.821940384, 3.895305634, 8.05
2020-03-02, 6.829060278, 3.896945715, 8.05
2020-03-03, 6.843918524, 3.896849394, 8.05
2020-03-04, 6.847717247, 3.893666029, 8.05
2020-03-05, 6.850009165, 3.89154458, 8.05
2020-03-06, 6.835060797, 3.890484333, 8.05
2020-03-07, 6.828597984, 3.88768959, 8.05
2020-03-08, 6.834778986, 3.885859013, 8.05
2020-03-09, 6.813227615, 3.886244535, 8.05
2020-03-10, 6.917470894, 3.88749671, 8.05
2020-03-11, 6.800663195, 3.885859013, 8.05
2020-03-12, 6.803212605, 3.890676975, 8.05
2020-03-13, 6.81387373, 3.890580654, 8.05
2020-03-14, 6.830095015, 3.893955231, 8.05
2020-03-15, 6.846628389, 3.893955231, 8.05
2020-03-16, 6.847145996, 3.891062737, 8.05
2020-03-17, 6.847924433, 3.889327765, 8.05
2020-03-18, 6.88082715, 3.905055761, 8.05
2020-03-19, 6.951480827, 3.909501314, 8.05
2020-03-20, 6.967595539, 3.903510332, 8.05
2020-03-21, 6.970989904, 3.896077394, 8.05
2020-03-22, 6.982186041, 3.893183947, 8.05
2020-03-23, 7.009187422, 3.878927469, 8.05
2020-03-24, 7.017429314, 3.863166571, 8.05
2020-03-25, 7.050701342, 3.858560801, 8.05
2020-03-26, 7.062063417, 3.847731113, 8.05
2020-03-27, 7.085901461, 3.838736296, 8.05
2020-03-28, 7.194304667, 3.85242486, 8.05
2020-03-29, 7.23269125, 3.844380379, 8.05
2020-03-30, 7.248805008, 3.826126337, 8.05
2020-03-31, 7.260299406, 3.810589314, 8.05
2020-04-01, 7.296582184, 3.813541174, 8.05
2020-04-02, 7.318358383, 3.816303968, 8.05
2020-04-03, 7.338040791, 3.813541174, 8.05
2020-04-04, 7.338651857, 3.813827038, 8.05
2020-04-05, 7.337982378, 3.813922167, 8.05
2020-04-06, 7.333475552, 3.812969685, 8.05
2020-04-07, 7.336164675, 3.816875696, 8.05
2020-04-08, 7.339408121, 3.819735289, 8.05
2020-04-09, 7.346068106, 3.81887722, 8.05
2020-04-10, 7.346423349, 3.814684391, 8.05
2020-04-11, 7.344399414, 3.811731815, 8.05
2020-04-12, 7.416142902, 3.853574991, 8.05
2020-04-13, 8.396698437, 3.95655632, 8.05
2020-04-14, 8.392576895, 3.912402153, 8.05
2020-04-15, 8.423127613, 3.881911039, 8.05
2020-04-16, 8.429807625, 3.856930256, 8.05
2020-04-17, 8.419923267, 3.84686923, 8.05
2020-04-18, 8.401758871, 3.834052324, 8.05
2020-04-19, 8.373282156, 3.823263884, 8.05
2020-04-20, 8.346165857, 3.814970016, 8.05
2020-04-21, 8.370804987, 3.813541174, 8.05
2020-04-22, 8.380994997, 3.811636448, 8.05
2020-04-23, 8.441864691, 3.824885845, 8.05
2020-04-24, 8.531241379, 3.839596748, 8.05
2020-04-25, 8.578979216, 3.854150057, 8.05
2020-04-26, 8.69242569, 3.883547783, 8.05
2020-04-27, 8.753899536, 3.879408598, 8.05
2020-04-28, 8.788546047, 3.876522541, 8.05
2020-04-29, 8.812165699, 3.862302542, 8.05
2020-04-30, 9.235922298, 3.953149319, 8.05
2020-05-01, 9.386558971, 3.908631325, 8.05
2020-05-02, 9.460930786, 3.885762691, 8.05
2020-05-03, 9.548585854, 3.880659819, 8.05
2020-05-04, 9.604171715, 3.863742352, 8.05
2020-05-05, 9.642476044, 3.850029707, 8.05
2020-05-06, 9.740634403, 3.837397575, 8.05
2020-05-07, 9.796474419, 3.81525588, 8.05
2020-05-08, 9.87027832, 3.801456213, 8.05
2020-05-09, 9.909460506, 3.808970928, 8.05
2020-05-10, 9.93778511, 3.819639921, 8.05
2020-05-11, 9.955567322, 3.827176094, 8.05
2020-05-12, 9.96681448, 3.8349123, 8.05
2020-05-13, 9.986186943, 3.841892481, 8.05
2020-05-14, 10.00003811, 3.849838018, 8.05
2020-05-15, 10.0125856, 3.837206364, 8.05
2020-05-16, 10.01170965, 3.817256927, 8.05
2020-05-17, 10.01543375, 3.81144619, 8.05
2020-05-18, 10.01803442, 3.810684443, 8.05
2020-05-19, 10.01019331, 3.80735302, 8.05
2020-05-20, 10.00092455, 3.812684059, 8.05
2020-05-21, 10.00112196, 3.821833134, 8.05
2020-05-22, 10.05514046, 3.842658043, 8.05
2020-05-23, 10.0719504, 3.842945099, 8.05
2020-05-24, 10.0809693, 3.841892481, 8.05
2020-05-25, 10.08331152, 3.84084034, 8.05
2020-05-26, 10.07737013, 3.826699018, 8.05
2020-05-27, 10.07667585, 3.812684059, 8.05
2020-05-28, 10.07754942, 3.807448387, 8.05
2020-05-29, 10.07892462, 3.801171064, 8.05
2020-05-30, 10.07330652, 3.783608675, 8.05
2020-05-31, 10.05328413, 3.772810936, 8.05
2020-06-01, 10.03239962, 3.773473263, 8.05
2020-06-02, 10.02876469, 3.777923346, 8.05
2020-06-03, 10.01008459, 3.782755613, 8.05
2020-06-04, 10.07414957, 3.821356297, 8.05
2020-06-05, 10.25856682, 3.938082218, 8.05
2020-06-06, 10.29321905, 3.888942242, 8.05
2020-06-07, 10.28435369, 3.874022007, 8.05
2020-06-08, 10.26382681, 3.865662575, 8.05
2020-06-09, 10.25157591, 3.855875492, 8.05
2020-06-10, 10.31859537, 3.916175127, 8.05
2020-06-11, 10.38805099, 3.884607077, 8.05
2020-06-12, 10.36851974, 3.864798546, 8.05
2020-06-13, 10.34218164, 3.854245901, 8.05
2020-06-14, 10.31228729, 3.849167585, 8.05
2020-06-15, 10.30743404, 3.843806267, 8.05
2020-06-16, 10.28921171, 3.838353634, 8.05
2020-06-17, 10.31838509, 3.846582174, 8.05
2020-06-18, 10.31929108, 3.845529079, 8.05
2020-06-19, 10.36115499, 3.862206697, 8.05
2020-06-20, 10.41480108, 3.864510536, 8.05
2020-06-21, 10.41883799, 3.859711885, 8.05
2020-06-22, 10.56595798, 3.897138834, 8.05
2020-06-23, 10.63846632, 3.900227308, 8.05
2020-06-24, 10.67026087, 3.875656843, 8.05
2020-06-25, 10.68537804, 3.896752834, 8.05
2020-06-26, 10.67643257, 3.867295265, 8.05
2020-06-27, 10.66254326, 3.840553284, 8.05
2020-06-28, 10.64704319, 3.833765745, 8.05
2020-06-29, 10.61683317, 3.829180956, 8.05
2020-06-30, 10.61066576, 3.839692593, 8.05
2020-07-01, 10.5978727, 3.841509819, 8.05
2020-07-02, 10.56838366, 3.841701269, 8.05
2020-07-03, 10.53827091, 3.837206364, 8.05
2020-07-04, 10.49699303, 3.828035355, 8.05
2020-07-05, 10.46211859, 3.828989983, 8.05
2020-07-06, 10.4288673, 3.823549986, 8.05
2020-07-07, 10.40179583, 3.822214603, 8.05
2020-07-08, 10.36429592, 3.816494465, 8.05
2020-07-09, 10.32236095, 3.80878067, 8.05
2020-07-10, 10.28513952, 3.816113472, 8.05
2020-07-11, 10.23467108, 3.811160564, 8.05
2020-07-12, 10.19776674, 3.820212126, 8.05
2020-07-13, 10.15366264, 3.815446377, 8.05
2020-07-14, 10.10236927, 3.807828903, 8.05
2020-07-15, 10.04421707, 3.799175024, 8.0025
2020-07-16, 9.98739048, 3.793000937, 7.954
2020-07-17, 9.940181694, 3.792241335, 7.9055
2020-07-18, 9.871664009, 3.792336464, 7.9055
2020-07-19, 9.802075348, 3.786548138, 7.857
2020-07-20, 9.740201435, 3.779723167, 7.857
2020-07-21, 9.684122524, 3.772526979, 7.8085
2020-07-22, 9.689781151, 3.855971575, 7.8085
2020-07-23, 9.649763546, 3.857122183, 8.05
2020-07-24, 9.654170952, 3.85904026, 8.05
2020-07-25, 9.60711237, 3.844954729, 8.05
2020-07-26, 9.547459087, 3.829085588, 8.05
2020-07-27, 9.486777744, 3.823454618, 8.05
2020-07-28, 9.423016033, 3.812207937, 8.05
2020-07-29, 9.38589426, 3.808495045, 8.05
2020-07-30, 9.332454643, 3.815446377, 8.05
2020-07-31, 9.303734741, 3.823263884, 8.05
2020-08-01, 9.257059536, 3.822214603, 8.05
2020-08-02, 8.957590065, 3.818782091, 8.05
2020-08-03, 8.689696751, 3.83730197, 8.05
2020-08-04, 8.991298161, 3.916659117, 8.05
2020-08-05, 8.991944275, 3.849359274, 8.05
2020-08-06, 8.988408527, 3.848784447, 8.05
2020-08-07, 9.003508053, 3.841701269, 8.05
2020-08-08, 8.983693562, 3.835007906, 8.05
2020-08-09, 8.955978355, 3.834052324, 8.05
2020-08-10, 8.922730885, 3.834434509, 8.05
2020-08-11, 8.880796394, 3.836441517, 8.05
2020-08-12, 8.882914982, 3.84667778, 8.05
2020-08-13, 8.867612324, 3.854725122, 8.05
2020-08-14, 8.923502884, 3.860959053, 8.05
2020-08-15, 9.00969883, 3.888749361, 8.05
2020-08-16, 9.06872221, 3.884799719, 8.05
2020-08-17, 9.078978977, 3.878061533, 8.05
2020-08-18, 9.074221096, 3.874310493, 8.05
2020-08-19, 9.064659557, 3.873445272, 8.05
2020-08-20, 9.046278439, 3.868736029, 8.05
2020-08-21, 9.02720686, 3.864702463, 8.05
2020-08-22, 9.005496464, 3.863646507, 8.05
2020-08-23, 9.045617542, 3.859999657, 8.05
2020-08-24, 9.044144831, 3.857026339, 8.05
2020-08-25, 9.025924168, 3.852999926, 8.05
2020-08-26, 9.000951729, 3.847443819, 8.05
2020-08-27, 8.974914751, 3.84064889, 8.05
2020-08-28, 8.986930094, 3.860191584, 8.05
2020-08-29, 8.997059069, 3.870465517, 8.05
2020-08-30, 8.974417648, 3.866046667, 8.05
2020-08-31, 8.968584499, 3.870754004, 8.05
2020-09-01, 8.956126175, 3.871907234, 8.05
2020-09-02, 8.969563208, 3.884510756, 8.05
2020-09-03, 9.146552286, 3.918885231, 8.05
2020-09-04, 9.168703518, 3.885762691, 8.05
2020-09-05, 9.1553578, 3.8720994, 8.05
2020-09-06, 9.136841021, 3.860383511, 8.05
2020-09-07, 9.113619051, 3.84926343, 8.05
2020-09-08, 9.084121428, 3.844858885, 8.05
2020-09-09, 9.067153893, 3.842849255, 8.05
2020-09-10, 9.153827629, 3.843806267, 8.05
2020-09-11, 9.143213949, 3.841318607, 8.05
2020-09-12, 9.133370361, 3.829753876, 8.05
2020-09-13, 9.107187948, 3.822882414, 8.05
2020-09-14, 9.078366003, 3.818495989, 8.05
2020-09-15, 9.045635662, 3.81477952, 8.05
2020-09-16, 9.016441069, 3.81477952, 8.05
2020-09-17, 8.987521133, 3.817447662, 8.05
2020-09-18, 8.955907307, 3.817733526, 8.05
2020-09-19, 8.909804068, 3.816399336, 8.05
2020-09-20, 8.869802914, 3.815827608, 8.05
2020-09-21, 8.838247261, 3.815541744, 8.05
2020-09-22, 8.79767271, 3.815637112, 8.05
2020-09-23, 8.766203842, 3.816113472, 8.05
2020-09-24, 8.735541306, 3.816399336, 8.05
2020-09-25, 8.718976936, 3.823073149, 8.05
2020-09-26, 8.701003752, 3.825267553, 8.05
2020-09-27, 8.673176489, 3.827367067, 8.05
2020-09-28, 8.642060719, 3.829371929, 8.05
2020-09-29, 8.618545494, 3.835581303, 8.05
2020-09-30, 8.587999783, 3.837493181, 8.05
2020-10-01, 8.554731808, 3.839309931, 8.05
2020-10-02, 8.498455725, 3.839309931, 8.05
2020-10-03, 8.447618923, 3.839309931, 8.05
2020-10-04, 8.408978662, 3.840553284, 8.05
2020-10-05, 8.358905516, 3.83997941, 8.05
2020-10-06, 8.318038664, 3.84084034, 8.05
2020-10-07, 8.268889866, 3.840553284, 8.05
2020-10-08, 8.228745661, 3.839596748, 8.05
2020-10-09, 8.182887754, 3.838353634, 8.05
2020-10-10, 8.143052778, 3.839692593, 8.05
2020-10-11, 8.154614649, 3.863742352, 8.05
2020-10-12, 8.186377964, 3.866334915, 8.05
2020-10-13, 8.172270498, 3.865662575, 8.05
2020-10-14, , , 8.05
2020-10-15, , , 8.05
2020-10-16, , , 8.05
2020-10-17, , , 8.05
2020-10-18, , , 8.05
2020-10-19, , , 8.05
2020-10-20, , , 
2020-10-21, , , 
2020-10-22, , , 
2020-10-23, , , 
2020-10-24, , , 
2020-10-25, , , 
2020-10-26, , , 
2020-10-27, , , 
2020-10-28, , , 
2020-10-29, , , 
2020-10-30, , , 
2020-10-31, , , 
2020-11-01, , , 
2020-11-02, , , 
2020-11-03, , , 
2020-11-04, , , 
2020-11-05, , , 